"nc,nn,mc,mn,v,d1c,d1n,d2c,d2n,d3c,d3n,d4c,d4n"
"Nível Territorial (Código),Nível Territorial,Unidade de Medida (Código),Unidade de Medida,Valor,Unidade da Federação (Código),Unidade da Federação,Ano (Código),Ano,Variável (Código),Variável,Quesito de declaração indígena (Código),Quesito de declaração indígena"
"3,Unidade da Federação,1702,Razão,13.12,11,Rondônia,2022,2022,9308,Índice de envelhecimento da população residente em terras indígenas (Idosos: 60 anos ou mais de idade),60024,Total"
"3,Unidade da Federação,1622,Anos,19,11,Rondônia,2022,2022,9309,Idade mediana da população residente em terras indígenas,60024,Total"
"3,Unidade da Federação,1702,Razão,108.72,11,Rondônia,2022,2022,9353,Razão de sexo da população residente em terras indígenas,60024,Total"
"3,Unidade da Federação,1702,Razão,12.22,11,Rondônia,2022,2022,9414,Índice de envelhecimento da população indígena residente em terras indígenas (Idosos: 60 anos ou mais de idade),60024,Total"
"3,Unidade da Federação,1622,Anos,19,11,Rondônia,2022,2022,9415,Idade mediana da população indígena residente em terras indígenas,60024,Total"
"3,Unidade da Federação,1702,Razão,108.45,11,Rondônia,2022,2022,9416,Razão de sexo da população indígena residente em terras indígenas,60024,Total"
"3,Unidade da Federação,1702,Razão,7.61,12,Acre,2022,2022,9308,Índice de envelhecimento da população residente em terras indígenas (Idosos: 60 anos ou mais de idade),60024,Total"
"3,Unidade da Federação,1622,Anos,15,12,Acre,2022,2022,9309,Idade mediana da população residente em terras indígenas,60024,Total"
"3,Unidade da Federação,1702,Razão,106.90,12,Acre,2022,2022,9353,Razão de sexo da população residente em terras indígenas,60024,Total"
"3,Unidade da Federação,1702,Razão,7.45,12,Acre,2022,2022,9414,Índice de envelhecimento da população indígena residente em terras indígenas (Idosos: 60 anos ou mais de idade),60024,Total"
"3,Unidade da Federação,1622,Anos,15,12,Acre,2022,2022,9415,Idade mediana da população indígena residente em terras indígenas,60024,Total"
"3,Unidade da Federação,1702,Razão,106.68,12,Acre,2022,2022,9416,Razão de sexo da população indígena residente em terras indígenas,60024,Total"
"3,Unidade da Federação,1702,Razão,13.63,13,Amazonas,2022,2022,9308,Índice de envelhecimento da população residente em terras indígenas (Idosos: 60 anos ou mais de idade),60024,Total"
"3,Unidade da Federação,1622,Anos,17,13,Amazonas,2022,2022,9309,Idade mediana da população residente em terras indígenas,60024,Total"
"3,Unidade da Federação,1702,Razão,108.50,13,Amazonas,2022,2022,9353,Razão de sexo da população residente em terras indígenas,60024,Total"
"3,Unidade da Federação,1702,Razão,13.61,13,Amazonas,2022,2022,9414,Índice de envelhecimento da população indígena residente em terras indígenas (Idosos: 60 anos ou mais de idade),60024,Total"
"3,Unidade da Federação,1622,Anos,17,13,Amazonas,2022,2022,9415,Idade mediana da população indígena residente em terras indígenas,60024,Total"
"3,Unidade da Federação,1702,Razão,108.07,13,Amazonas,2022,2022,9416,Razão de sexo da população indígena residente em terras indígenas,60024,Total"
"3,Unidade da Federação,1702,Razão,11.59,14,Roraima,2022,2022,9308,Índice de envelhecimento da população residente em terras indígenas (Idosos: 60 anos ou mais de idade),60024,Total"
"3,Unidade da Federação,1622,Anos,17,14,Roraima,2022,2022,9309,Idade mediana da população residente em terras indígenas,60024,Total"
"3,Unidade da Federação,1702,Razão,106.87,14,Roraima,2022,2022,9353,Razão de sexo da população residente em terras indígenas,60024,Total"
"3,Unidade da Federação,1702,Razão,10.91,14,Roraima,2022,2022,9414,Índice de envelhecimento da população indígena residente em terras indígenas (Idosos: 60 anos ou mais de idade),60024,Total"
"3,Unidade da Federação,1622,Anos,16,14,Roraima,2022,2022,9415,Idade mediana da população indígena residente em terras indígenas,60024,Total"
"3,Unidade da Federação,1702,Razão,106.85,14,Roraima,2022,2022,9416,Razão de sexo da população indígena residente em terras indígenas,60024,Total"
"3,Unidade da Federação,1702,Razão,11.18,15,Pará,2022,2022,9308,Índice de envelhecimento da população residente em terras indígenas (Idosos: 60 anos ou mais de idade),60024,Total"
"3,Unidade da Federação,1622,Anos,18,15,Pará,2022,2022,9309,Idade mediana da população residente em terras indígenas,60024,Total"
"3,Unidade da Federação,1702,Razão,108.07,15,Pará,2022,2022,9353,Razão de sexo da população residente em terras indígenas,60024,Total"
"3,Unidade da Federação,1702,Razão,9.69,15,Pará,2022,2022,9414,Índice de envelhecimento da população indígena residente em terras indígenas (Idosos: 60 anos ou mais de idade),60024,Total"
"3,Unidade da Federação,1622,Anos,17,15,Pará,2022,2022,9415,Idade mediana da população indígena residente em terras indígenas,60024,Total"
"3,Unidade da Federação,1702,Razão,104.35,15,Pará,2022,2022,9416,Razão de sexo da população indígena residente em terras indígenas,60024,Total"
"3,Unidade da Federação,1702,Razão,10.51,16,Amapá,2022,2022,9308,Índice de envelhecimento da população residente em terras indígenas (Idosos: 60 anos ou mais de idade),60024,Total"
"3,Unidade da Federação,1622,Anos,18,16,Amapá,2022,2022,9309,Idade mediana da população residente em terras indígenas,60024,Total"
"3,Unidade da Federação,1702,Razão,111.08,16,Amapá,2022,2022,9353,Razão de sexo da população residente em terras indígenas,60024,Total"
"3,Unidade da Federação,1702,Razão,10.39,16,Amapá,2022,2022,9414,Índice de envelhecimento da população indígena residente em terras indígenas (Idosos: 60 anos ou mais de idade),60024,Total"
"3,Unidade da Federação,1622,Anos,18,16,Amapá,2022,2022,9415,Idade mediana da população indígena residente em terras indígenas,60024,Total"
"3,Unidade da Federação,1702,Razão,110.71,16,Amapá,2022,2022,9416,Razão de sexo da população indígena residente em terras indígenas,60024,Total"
"3,Unidade da Federação,1702,Razão,11.64,17,Tocantins,2022,2022,9308,Índice de envelhecimento da população residente em terras indígenas (Idosos: 60 anos ou mais de idade),60024,Total"
"3,Unidade da Federação,1622,Anos,18,17,Tocantins,2022,2022,9309,Idade mediana da população residente em terras indígenas,60024,Total"
"3,Unidade da Federação,1702,Razão,109.20,17,Tocantins,2022,2022,9353,Razão de sexo da população residente em terras indígenas,60024,Total"
"3,Unidade da Federação,1702,Razão,9.73,17,Tocantins,2022,2022,9414,Índice de envelhecimento da população indígena residente em terras indígenas (Idosos: 60 anos ou mais de idade),60024,Total"
"3,Unidade da Federação,1622,Anos,17,17,Tocantins,2022,2022,9415,Idade mediana da população indígena residente em terras indígenas,60024,Total"
