nivel_territorial_codigo,nivel_territorial_nome,unidade_medida_codigo,unidade_medida_nome,valor,dimensao1_codigo,dimensao1_nome,dimensao2_codigo,dimensao2_nome,dimensao3_codigo,dimensao3_nome,valor_convertido
Nível Territorial (Código),Nível Territorial,Unidade de Medida (Código),Unidade de Medida,Valor,Unidade da Federação (Código),Unidade da Federação,Ano (Código),Ano,Variável (Código),Variável,
3,Unidade da Federação,1702,Razão,31.51,11,Rondônia,2022,2022,9359,Índice de envelhecimento da população residente em territórios quilombolas (Idosos: 60 anos ou mais de idade),31.51
3,Unidade da Federação,1622,Anos,29,11,Rondônia,2022,2022,9408,Idade mediana da população residente em territórios quilombolas,29.0
3,Unidade da Federação,1702,Razão,117.92,11,Rondônia,2022,2022,9409,Razão de sexo da população residente em territórios quilombolas,117.92
3,Unidade da Federação,1702,Razão,30.14,11,Rondônia,2022,2022,9421,Índice de envelhecimento da população quilombola residente em territórios quilombolas (Idosos: 60 anos ou mais de idade),30.14
3,Unidade da Federação,1622,Anos,29,11,Rondônia,2022,2022,9422,Idade mediana da população quilombola residente em territórios quilombolas,29.0
3,Unidade da Federação,1702,Razão,125.51,11,Rondônia,2022,2022,9423,Razão de sexo da população quilombola residente em territórios quilombolas,125.51
3,Unidade da Federação,1702,Razão,-,12,Acre,2022,2022,9359,Índice de envelhecimento da população residente em territórios quilombolas (Idosos: 60 anos ou mais de idade),
3,Unidade da Federação,1622,Anos,-,12,Acre,2022,2022,9408,Idade mediana da população residente em territórios quilombolas,
3,Unidade da Federação,1702,Razão,-,12,Acre,2022,2022,9409,Razão de sexo da população residente em territórios quilombolas,
3,Unidade da Federação,1702,Razão,-,12,Acre,2022,2022,9421,Índice de envelhecimento da população quilombola residente em territórios quilombolas (Idosos: 60 anos ou mais de idade),
3,Unidade da Federação,1622,Anos,-,12,Acre,2022,2022,9422,Idade mediana da população quilombola residente em territórios quilombolas,
3,Unidade da Federação,1702,Razão,-,12,Acre,2022,2022,9423,Razão de sexo da população quilombola residente em territórios quilombolas,
3,Unidade da Federação,1702,Razão,17.52,13,Amazonas,2022,2022,9359,Índice de envelhecimento da população residente em territórios quilombolas (Idosos: 60 anos ou mais de idade),17.52
3,Unidade da Federação,1622,Anos,19,13,Amazonas,2022,2022,9408,Idade mediana da população residente em territórios quilombolas,19.0
3,Unidade da Federação,1702,Razão,107.01,13,Amazonas,2022,2022,9409,Razão de sexo da população residente em territórios quilombolas,107.01
3,Unidade da Federação,1702,Razão,19.18,13,Amazonas,2022,2022,9421,Índice de envelhecimento da população quilombola residente em territórios quilombolas (Idosos: 60 anos ou mais de idade),19.18
3,Unidade da Federação,1622,Anos,19,13,Amazonas,2022,2022,9422,Idade mediana da população quilombola residente em territórios quilombolas,19.0
3,Unidade da Federação,1702,Razão,109.71,13,Amazonas,2022,2022,9423,Razão de sexo da população quilombola residente em territórios quilombolas,109.71
3,Unidade da Federação,1702,Razão,-,14,Roraima,2022,2022,9359,Índice de envelhecimento da população residente em territórios quilombolas (Idosos: 60 anos ou mais de idade),
3,Unidade da Federação,1622,Anos,-,14,Roraima,2022,2022,9408,Idade mediana da população residente em territórios quilombolas,
3,Unidade da Federação,1702,Razão,-,14,Roraima,2022,2022,9409,Razão de sexo da população residente em territórios quilombolas,
3,Unidade da Federação,1702,Razão,-,14,Roraima,2022,2022,9421,Índice de envelhecimento da população quilombola residente em territórios quilombolas (Idosos: 60 anos ou mais de idade),
3,Unidade da Federação,1622,Anos,-,14,Roraima,2022,2022,9422,Idade mediana da população quilombola residente em territórios quilombolas,
3,Unidade da Federação,1702,Razão,-,14,Roraima,2022,2022,9423,Razão de sexo da população quilombola residente em territórios quilombolas,
3,Unidade da Federação,1702,Razão,29.54,15,Pará,2022,2022,9359,Índice de envelhecimento da população residente em territórios quilombolas (Idosos: 60 anos ou mais de idade),29.54
3,Unidade da Federação,1622,Anos,24,15,Pará,2022,2022,9408,Idade mediana da população residente em territórios quilombolas,24.0
3,Unidade da Federação,1702,Razão,111.61,15,Pará,2022,2022,9409,Razão de sexo da população residente em territórios quilombolas,111.61
3,Unidade da Federação,1702,Razão,29.91,15,Pará,2022,2022,9421,Índice de envelhecimento da população quilombola residente em territórios quilombolas (Idosos: 60 anos ou mais de idade),29.91
3,Unidade da Federação,1622,Anos,24,15,Pará,2022,2022,9422,Idade mediana da população quilombola residente em territórios quilombolas,24.0
3,Unidade da Federação,1702,Razão,111.93,15,Pará,2022,2022,9423,Razão de sexo da população quilombola residente em territórios quilombolas,111.93
