"nc,nn,mc,mn,v,d1c,d1n,d2c,d2n,d3c,d3n,d4c,d4n"
"Nível Territorial (Código),Nível Territorial,Unidade de Medida (Código),Unidade de Medida,Valor,Brasil (Código),Brasil,Mês (Código),Mês,Variável (Código),Variável,Tipos de índice (Código),Tipos de índice"
"1,Brasil,,,..,1,Brasil,201801,janeiro 2018,564,Índice de volume de vendas no comércio varejista,0,"
"1,Brasil,,,..,1,Brasil,201801,janeiro 2018,565,Índice de receita nominal de vendas no comércio varejista,0,"
"1,Brasil,,,..,1,Brasil,201802,fevereiro 2018,564,Índice de volume de vendas no comércio varejista,0,"
"1,Brasil,,,..,1,Brasil,201802,fevereiro 2018,565,Índice de receita nominal de vendas no comércio varejista,0,"
"1,Brasil,,,..,1,Brasil,201803,março 2018,564,Índice de volume de vendas no comércio varejista,0,"
"1,Brasil,,,..,1,Brasil,201803,março 2018,565,Índice de receita nominal de vendas no comércio varejista,0,"
"1,Brasil,,,..,1,Brasil,201804,abril 2018,564,Índice de volume de vendas no comércio varejista,0,"
"1,Brasil,,,..,1,Brasil,201804,abril 2018,565,Índice de receita nominal de vendas no comércio varejista,0,"
"1,Brasil,,,..,1,Brasil,201805,maio 2018,564,Índice de volume de vendas no comércio varejista,0,"
"1,Brasil,,,..,1,Brasil,201805,maio 2018,565,Índice de receita nominal de vendas no comércio varejista,0,"
"1,Brasil,,,..,1,Brasil,201806,junho 2018,564,Índice de volume de vendas no comércio varejista,0,"
"1,Brasil,,,..,1,Brasil,201806,junho 2018,565,Índice de receita nominal de vendas no comércio varejista,0,"
"1,Brasil,,,..,1,Brasil,201807,julho 2018,564,Índice de volume de vendas no comércio varejista,0,"
"1,Brasil,,,..,1,Brasil,201807,julho 2018,565,Índice de receita nominal de vendas no comércio varejista,0,"
"1,Brasil,,,..,1,Brasil,201808,agosto 2018,564,Índice de volume de vendas no comércio varejista,0,"
"1,Brasil,,,..,1,Brasil,201808,agosto 2018,565,Índice de receita nominal de vendas no comércio varejista,0,"
"1,Brasil,,,..,1,Brasil,201809,setembro 2018,564,Índice de volume de vendas no comércio varejista,0,"
"1,Brasil,,,..,1,Brasil,201809,setembro 2018,565,Índice de receita nominal de vendas no comércio varejista,0,"
"1,Brasil,,,..,1,Brasil,201810,outubro 2018,564,Índice de volume de vendas no comércio varejista,0,"
"1,Brasil,,,..,1,Brasil,201810,outubro 2018,565,Índice de receita nominal de vendas no comércio varejista,0,"
"1,Brasil,,,..,1,Brasil,201811,novembro 2018,564,Índice de volume de vendas no comércio varejista,0,"
"1,Brasil,,,..,1,Brasil,201811,novembro 2018,565,Índice de receita nominal de vendas no comércio varejista,0,"
"1,Brasil,,,..,1,Brasil,201812,dezembro 2018,564,Índice de volume de vendas no comércio varejista,0,"
"1,Brasil,,,..,1,Brasil,201812,dezembro 2018,565,Índice de receita nominal de vendas no comércio varejista,0,"
"1,Brasil,,,..,1,Brasil,201901,janeiro 2019,564,Índice de volume de vendas no comércio varejista,0,"
"1,Brasil,,,..,1,Brasil,201901,janeiro 2019,565,Índice de receita nominal de vendas no comércio varejista,0,"
"1,Brasil,,,..,1,Brasil,201902,fevereiro 2019,564,Índice de volume de vendas no comércio varejista,0,"
"1,Brasil,,,..,1,Brasil,201902,fevereiro 2019,565,Índice de receita nominal de vendas no comércio varejista,0,"
"1,Brasil,,,..,1,Brasil,201903,março 2019,564,Índice de volume de vendas no comércio varejista,0,"
"1,Brasil,,,..,1,Brasil,201903,março 2019,565,Índice de receita nominal de vendas no comércio varejista,0,"
"1,Brasil,,,..,1,Brasil,201904,abril 2019,564,Índice de volume de vendas no comércio varejista,0,"
"1,Brasil,,,..,1,Brasil,201904,abril 2019,565,Índice de receita nominal de vendas no comércio varejista,0,"
"1,Brasil,,,..,1,Brasil,201905,maio 2019,564,Índice de volume de vendas no comércio varejista,0,"
"1,Brasil,,,..,1,Brasil,201905,maio 2019,565,Índice de receita nominal de vendas no comércio varejista,0,"
"1,Brasil,,,..,1,Brasil,201906,junho 2019,564,Índice de volume de vendas no comércio varejista,0,"
"1,Brasil,,,..,1,Brasil,201906,junho 2019,565,Índice de receita nominal de vendas no comércio varejista,0,"
"1,Brasil,,,..,1,Brasil,201907,julho 2019,564,Índice de volume de vendas no comércio varejista,0,"
"1,Brasil,,,..,1,Brasil,201907,julho 2019,565,Índice de receita nominal de vendas no comércio varejista,0,"
"1,Brasil,,,..,1,Brasil,201908,agosto 2019,564,Índice de volume de vendas no comércio varejista,0,"
"1,Brasil,,,..,1,Brasil,201908,agosto 2019,565,Índice de receita nominal de vendas no comércio varejista,0,"
"1,Brasil,,,..,1,Brasil,201909,setembro 2019,564,Índice de volume de vendas no comércio varejista,0,"
"1,Brasil,,,..,1,Brasil,201909,setembro 2019,565,Índice de receita nominal de vendas no comércio varejista,0,"
"1,Brasil,,,..,1,Brasil,201910,outubro 2019,564,Índice de volume de vendas no comércio varejista,0,"
"1,Brasil,,,..,1,Brasil,201910,outubro 2019,565,Índice de receita nominal de vendas no comércio varejista,0,"
"1,Brasil,,,..,1,Brasil,201911,novembro 2019,564,Índice de volume de vendas no comércio varejista,0,"
"1,Brasil,,,..,1,Brasil,201911,novembro 2019,565,Índice de receita nominal de vendas no comércio varejista,0,"
"1,Brasil,,,..,1,Brasil,201912,dezembro 2019,564,Índice de volume de vendas no comércio varejista,0,"
"1,Brasil,,,..,1,Brasil,201912,dezembro 2019,565,Índice de receita nominal de vendas no comércio varejista,0,"
"1,Brasil,,,..,1,Brasil,202001,janeiro 2020,564,Índice de volume de vendas no comércio varejista,0,"
"1,Brasil,,,..,1,Brasil,202001,janeiro 2020,565,Índice de receita nominal de vendas no comércio varejista,0,"
"1,Brasil,,,..,1,Brasil,202002,fevereiro 2020,564,Índice de volume de vendas no comércio varejista,0,"
"1,Brasil,,,..,1,Brasil,202002,fevereiro 2020,565,Índice de receita nominal de vendas no comércio varejista,0,"
