VALDATA,IPCA,TAXA_DESOCUPACAO,ANO,MES,TRIMESTRE,ANO_MES,IPCA_VARIACAO_MENSAL,IPCA_VARIACAO_ANUAL,DESOCUPACAO_VARIACAO_MENSAL,DESOCUPACAO_VARIACAO_ANUAL,CLASSIFICACAO_INFLACAO,CLASSIFICACAO_DESOCUPACAO
2012-03-01,3445.41,8.0,2012,3,1,2012-03,,,,,Moderada,Moderada
2012-04-01,3467.46,7.8,2012,4,2,2012-04,0.6399818889479159,,-0.20000000000000018,,Moderada,Baixa
2012-05-01,3479.94,7.7,2012,5,2,2012-05,0.3599176342337085,,-0.09999999999999964,,Moderada,Baixa
2012-06-01,3482.72,7.6,2012,6,2,2012-06,0.07988643482357283,,-0.10000000000000053,,Moderada,Baixa
2012-07-01,3497.7,7.5,2012,7,3,2012-07,0.4301235815684201,,-0.09999999999999964,,Moderada,Baixa
2012-08-01,3512.04,7.3,2012,8,3,2012-08,0.40998370357663294,,-0.20000000000000018,,Moderada,Baixa
2012-09-01,3532.06,7.1,2012,9,3,2012-09,0.5700390656142806,,-0.20000000000000018,,Moderada,Baixa
2012-10-01,3552.9,6.9,2012,10,4,2012-10,0.5900239520280071,,-0.1999999999999993,,Moderada,Baixa
2012-11-01,3574.22,6.8,2012,11,4,2012-11,0.6000731796560466,,-0.10000000000000053,,Moderada,Baixa
2012-12-01,3602.46,6.9,2012,12,4,2012-12,0.7901024559204606,,0.10000000000000053,,Moderada,Baixa
2013-01-01,3633.44,7.2,2013,1,1,2013-01,0.8599679108165059,,0.2999999999999998,,Moderada,Baixa
2013-02-01,3655.24,7.8,2013,2,1,2013-02,0.5999823858382047,,0.5999999999999996,,Moderada,Baixa
2013-03-01,3672.42,8.0,2013,3,1,2013-03,0.47001017717032134,6.588765923358908,0.20000000000000018,0.0,Alta,Moderada
2013-04-01,3692.62,7.9,2013,4,2,2013-04,0.5500460187015666,6.493513984299737,-0.09999999999999964,0.10000000000000053,Alta,Baixa
2013-05-01,3706.28,7.6,2013,5,2,2013-05,0.36992704367089235,6.504135128766597,-0.3000000000000007,-0.10000000000000053,Alta,Baixa
