nivel_territorial_codigo,nivel_territorial_nome,unidade_medida_codigo,unidade_medida_nome,valor,dimensao1_codigo,dimensao1_nome,dimensao2_codigo,dimensao2_nome,dimensao3_codigo,dimensao3_nome,dimensao4_codigo,dimensao4_nome,valor_convertido,fonte_arquivo,tipo_dado,dimensao5_codigo,dimensao5_nome
Nível Territorial (Código),Nível Territorial,Unidade de Medida (Código),Unidade de Medida,Valor,Unidade da Federação (Código),Unidade da Federação,Ano (Código),Ano,Variável (Código),Variável,Quesito de declaração indígena (Código),Quesito de declaração indígena,,censo2022_educacao_raw.csv,educacao,,
3,Unidade da Federação,1702,Razão,13.12,11,Rondônia,2022,2022,9308,Índice de envelhecimento da população residente em terras indígenas (Idosos: 60 anos ou mais de idade),60024,Total,13.12,censo2022_educacao_raw.csv,educacao,,
3,Unidade da Federação,1622,Anos,19,11,Rondônia,2022,2022,9309,Idade mediana da população residente em terras indígenas,60024,Total,19.0,censo2022_educacao_raw.csv,educacao,,
3,Unidade da Federação,1702,Razão,108.72,11,Rondônia,2022,2022,9353,Razão de sexo da população residente em terras indígenas,60024,Total,108.72,censo2022_educacao_raw.csv,educacao,,
3,Unidade da Federação,1702,Razão,12.22,11,Rondônia,2022,2022,9414,Índice de envelhecimento da população indígena residente em terras indígenas (Idosos: 60 anos ou mais de idade),60024,Total,12.22,censo2022_educacao_raw.csv,educacao,,
3,Unidade da Federação,1622,Anos,19,11,Rondônia,2022,2022,9415,Idade mediana da população indígena residente em terras indígenas,60024,Total,19.0,censo2022_educacao_raw.csv,educacao,,
3,Unidade da Federação,1702,Razão,108.45,11,Rondônia,2022,2022,9416,Razão de sexo da população indígena residente em terras indígenas,60024,Total,108.45,censo2022_educacao_raw.csv,educacao,,
3,Unidade da Federação,1702,Razão,7.61,12,Acre,2022,2022,9308,Índice de envelhecimento da população residente em terras indígenas (Idosos: 60 anos ou mais de idade),60024,Total,7.61,censo2022_educacao_raw.csv,educacao,,
3,Unidade da Federação,1622,Anos,15,12,Acre,2022,2022,9309,Idade mediana da população residente em terras indígenas,60024,Total,15.0,censo2022_educacao_raw.csv,educacao,,
3,Unidade da Federação,1702,Razão,106.90,12,Acre,2022,2022,9353,Razão de sexo da população residente em terras indígenas,60024,Total,106.9,censo2022_educacao_raw.csv,educacao,,
3,Unidade da Federação,1702,Razão,7.45,12,Acre,2022,2022,9414,Índice de envelhecimento da população indígena residente em terras indígenas (Idosos: 60 anos ou mais de idade),60024,Total,7.45,censo2022_educacao_raw.csv,educacao,,
3,Unidade da Federação,1622,Anos,15,12,Acre,2022,2022,9415,Idade mediana da população indígena residente em terras indígenas,60024,Total,15.0,censo2022_educacao_raw.csv,educacao,,
3,Unidade da Federação,1702,Razão,106.68,12,Acre,2022,2022,9416,Razão de sexo da população indígena residente em terras indígenas,60024,Total,106.68,censo2022_educacao_raw.csv,educacao,,
3,Unidade da Federação,1702,Razão,13.63,13,Amazonas,2022,2022,9308,Índice de envelhecimento da população residente em terras indígenas (Idosos: 60 anos ou mais de idade),60024,Total,13.63,censo2022_educacao_raw.csv,educacao,,
3,Unidade da Federação,1622,Anos,17,13,Amazonas,2022,2022,9309,Idade mediana da população residente em terras indígenas,60024,Total,17.0,censo2022_educacao_raw.csv,educacao,,
3,Unidade da Federação,1702,Razão,108.50,13,Amazonas,2022,2022,9353,Razão de sexo da população residente em terras indígenas,60024,Total,108.5,censo2022_educacao_raw.csv,educacao,,
3,Unidade da Federação,1702,Razão,13.61,13,Amazonas,2022,2022,9414,Índice de envelhecimento da população indígena residente em terras indígenas (Idosos: 60 anos ou mais de idade),60024,Total,13.61,censo2022_educacao_raw.csv,educacao,,
3,Unidade da Federação,1622,Anos,17,13,Amazonas,2022,2022,9415,Idade mediana da população indígena residente em terras indígenas,60024,Total,17.0,censo2022_educacao_raw.csv,educacao,,
3,Unidade da Federação,1702,Razão,108.07,13,Amazonas,2022,2022,9416,Razão de sexo da população indígena residente em terras indígenas,60024,Total,108.07,censo2022_educacao_raw.csv,educacao,,
3,Unidade da Federação,1702,Razão,11.59,14,Roraima,2022,2022,9308,Índice de envelhecimento da população residente em terras indígenas (Idosos: 60 anos ou mais de idade),60024,Total,11.59,censo2022_educacao_raw.csv,educacao,,
3,Unidade da Federação,1622,Anos,17,14,Roraima,2022,2022,9309,Idade mediana da população residente em terras indígenas,60024,Total,17.0,censo2022_educacao_raw.csv,educacao,,
3,Unidade da Federação,1702,Razão,106.87,14,Roraima,2022,2022,9353,Razão de sexo da população residente em terras indígenas,60024,Total,106.87,censo2022_educacao_raw.csv,educacao,,
3,Unidade da Federação,1702,Razão,10.91,14,Roraima,2022,2022,9414,Índice de envelhecimento da população indígena residente em terras indígenas (Idosos: 60 anos ou mais de idade),60024,Total,10.91,censo2022_educacao_raw.csv,educacao,,
3,Unidade da Federação,1622,Anos,16,14,Roraima,2022,2022,9415,Idade mediana da população indígena residente em terras indígenas,60024,Total,16.0,censo2022_educacao_raw.csv,educacao,,
3,Unidade da Federação,1702,Razão,106.85,14,Roraima,2022,2022,9416,Razão de sexo da população indígena residente em terras indígenas,60024,Total,106.85,censo2022_educacao_raw.csv,educacao,,
3,Unidade da Federação,1702,Razão,11.18,15,Pará,2022,2022,9308,Índice de envelhecimento da população residente em terras indígenas (Idosos: 60 anos ou mais de idade),60024,Total,11.18,censo2022_educacao_raw.csv,educacao,,
3,Unidade da Federação,1622,Anos,18,15,Pará,2022,2022,9309,Idade mediana da população residente em terras indígenas,60024,Total,18.0,censo2022_educacao_raw.csv,educacao,,
3,Unidade da Federação,1702,Razão,108.07,15,Pará,2022,2022,9353,Razão de sexo da população residente em terras indígenas,60024,Total,108.07,censo2022_educacao_raw.csv,educacao,,
3,Unidade da Federação,1702,Razão,9.69,15,Pará,2022,2022,9414,Índice de envelhecimento da população indígena residente em terras indígenas (Idosos: 60 anos ou mais de idade),60024,Total,9.69,censo2022_educacao_raw.csv,educacao,,
