nivel_territorial_codigo,nivel_territorial_nome,unidade_medida_codigo,unidade_medida_nome,valor,dimensao1_codigo,dimensao1_nome,dimensao2_codigo,dimensao2_nome,dimensao3_codigo,dimensao3_nome,valor_convertido
Nível Territorial (Código),Nível Territorial,Unidade de Medida (Código),Unidade de Medida,Valor,Brasil (Código),Brasil,Ano (Código),Ano,Variável (Código),Variável,
1,Brasil,1550,Milhões de Reais,6996861,1,Brasil,2018,2018,9808,PIB - valores correntes,6996861.0
1,Brasil,1550,Milhões de Reais,6702942,1,Brasil,2018,2018,9809,PIB - preços do ano anterior,6702942.0
1,Brasil,2,%,1.7,1,Brasil,2018,2018,9810,PIB - variação em volume,1.7
1,Brasil,2,%,4.4,1,Brasil,2018,2018,9811,PIB - deflator - variação anual,4.4
1,Brasil,1572,Mil pessoas,206529,1,Brasil,2018,2018,93,População residente,206529.0
1,Brasil,38,Reais,33878.35,1,Brasil,2018,2018,9812,PIB per capita - valores correntes,33878.35
1,Brasil,38,Reais,32455.21,1,Brasil,2018,2018,9813,PIB per capita - preços do ano anterior,32455.21
1,Brasil,2,%,1.0,1,Brasil,2018,2018,9814,PIB per capita - variação em volume,1.0
1,Brasil,1550,Milhões de Reais,7394332,1,Brasil,2019,2019,9808,PIB - valores correntes,7394332.0
1,Brasil,1550,Milhões de Reais,7086549,1,Brasil,2019,2019,9809,PIB - preços do ano anterior,7086549.0
1,Brasil,2,%,1.3,1,Brasil,2019,2019,9810,PIB - variação em volume,1.3
1,Brasil,2,%,4.3,1,Brasil,2019,2019,9811,PIB - deflator - variação anual,4.3
1,Brasil,1572,Mil pessoas,207900,1,Brasil,2019,2019,93,População residente,207900.0
1,Brasil,38,Reais,35566.77,1,Brasil,2019,2019,9812,PIB per capita - valores correntes,35566.77
1,Brasil,38,Reais,34086.33,1,Brasil,2019,2019,9813,PIB per capita - preços do ano anterior,34086.33
1,Brasil,2,%,0.6,1,Brasil,2019,2019,9814,PIB per capita - variação em volume,0.6
1,Brasil,1550,Milhões de Reais,7609597,1,Brasil,2020,2020,9808,PIB - valores correntes,7609597.0
1,Brasil,1550,Milhões de Reais,7147007,1,Brasil,2020,2020,9809,PIB - preços do ano anterior,7147007.0
1,Brasil,2,%,-3.3,1,Brasil,2020,2020,9810,PIB - variação em volume,-3.3
1,Brasil,2,%,6.5,1,Brasil,2020,2020,9811,PIB - deflator - variação anual,6.5
1,Brasil,1572,Mil pessoas,209165,1,Brasil,2020,2020,93,População residente,209165.0
1,Brasil,38,Reais,36380.83,1,Brasil,2020,2020,9812,PIB per capita - valores correntes,36380.83
1,Brasil,38,Reais,34169.23,1,Brasil,2020,2020,9813,PIB per capita - preços do ano anterior,34169.23
1,Brasil,2,%,-3.9,1,Brasil,2020,2020,9814,PIB per capita - variação em volume,-3.9
1,Brasil,1550,Milhões de Reais,9012142,1,Brasil,2021,2021,9808,PIB - valores correntes,9012142.0
1,Brasil,1550,Milhões de Reais,7972012,1,Brasil,2021,2021,9809,PIB - preços do ano anterior,7972012.0
1,Brasil,2,%,4.8,1,Brasil,2021,2021,9810,PIB - variação em volume,4.8
1,Brasil,2,%,13.0,1,Brasil,2021,2021,9811,PIB - deflator - variação anual,13.0
1,Brasil,1572,Mil pessoas,210104,1,Brasil,2021,2021,93,População residente,210104.0
1,Brasil,38,Reais,42893.72,1,Brasil,2021,2021,9812,PIB per capita - valores correntes,42893.72
1,Brasil,38,Reais,37943.17,1,Brasil,2021,2021,9813,PIB per capita - preços do ano anterior,37943.17
1,Brasil,2,%,4.3,1,Brasil,2021,2021,9814,PIB per capita - variação em volume,4.3
1,Brasil,1550,Milhões de Reais,10079677,1,Brasil,2022,2022,9808,PIB - valores correntes,10079677.0
1,Brasil,1550,Milhões de Reais,9284011,1,Brasil,2022,2022,9809,PIB - preços do ano anterior,9284011.0
1,Brasil,2,%,3.0,1,Brasil,2022,2022,9810,PIB - variação em volume,3.0
1,Brasil,2,%,8.6,1,Brasil,2022,2022,9811,PIB - deflator - variação anual,8.6
1,Brasil,1572,Mil pessoas,210863,1,Brasil,2022,2022,93,População residente,210863.0
1,Brasil,38,Reais,47802.02,1,Brasil,2022,2022,9812,PIB per capita - valores correntes,47802.02
1,Brasil,38,Reais,44028.64,1,Brasil,2022,2022,9813,PIB per capita - preços do ano anterior,44028.64
1,Brasil,2,%,2.6,1,Brasil,2022,2022,9814,PIB per capita - variação em volume,2.6
