data,valor
2018-01-01,3.42
2018-02-01,3.43
2018-03-01,3.29
2018-04-01,3.32
2018-05-01,3.3
2018-06-01,3.04
2018-07-01,3.02
2018-08-01,3.04
2018-09-01,3.04
2018-10-01,3.05
2018-11-01,2.96
2018-12-01,2.87
2019-01-01,2.95
2019-02-01,2.91
2019-03-01,2.99
2019-04-01,3.02
2019-05-01,3.05
2019-06-01,2.95
2019-07-01,3.06
2019-08-01,3.04
2019-09-01,3.06
2019-10-01,3.03
2019-11-01,3.0
2019-12-01,2.94
2020-01-01,3.0
2020-02-01,3.04
2020-03-01,3.18
2020-04-01,3.29
2020-05-01,3.24
2020-06-01,2.89
2020-07-01,2.76
2020-08-01,2.65
2020-09-01,2.43
2020-10-01,2.35
2020-11-01,2.23
2020-12-01,2.11
2021-01-01,2.14
2021-02-01,2.23
2021-03-01,2.13
2021-04-01,2.19
2021-05-01,2.33
2021-06-01,2.27
2021-07-01,2.31
2021-08-01,2.31
2021-09-01,2.28
2021-10-01,2.28
2021-11-01,2.31
2021-12-01,2.3
2022-01-01,2.45
2022-02-01,2.51
2022-03-01,2.59
2022-04-01,2.66
2022-05-01,2.72
2022-06-01,2.66
2022-07-01,2.77
2022-08-01,2.83
2022-09-01,2.85
2022-10-01,2.96
2022-11-01,2.99
2022-12-01,2.99
2023-01-01,3.15
2023-02-01,3.27
2023-03-01,3.26
2023-04-01,3.45
2023-05-01,3.55
2023-06-01,3.51
2023-07-01,3.54
2023-08-01,3.51
2023-09-01,3.44
2023-10-01,3.46
2023-11-01,3.43
2023-12-01,3.18
2024-01-01,3.26
2024-02-01,3.26
2024-03-01,3.2
2024-04-01,3.24
2024-05-01,3.26
2024-06-01,3.17
2024-07-01,3.17
2024-08-01,3.21
2024-09-01,3.22
2024-10-01,3.17
2024-11-01,3.14
2024-12-01,2.95
