data,valor
2018-01-01,0.3994
2018-02-01,0.3994
2018-03-01,0.3855
2018-04-01,0.3715
2018-05-01,0.3715
2018-06-01,0.3715
2018-07-01,0.3715
2018-08-01,0.3715
2018-09-01,0.3715
2018-10-01,0.3715
2018-11-01,0.3715
2018-12-01,0.3715
2019-01-01,0.3715
2019-02-01,0.3715
2019-03-01,0.3715
2019-04-01,0.3715
2019-05-01,0.3715
2019-06-01,0.3715
2019-07-01,0.3715
2019-08-01,0.3434
2019-09-01,0.3434
2019-10-01,0.3153
2019-11-01,0.2871
2019-12-01,0.2871
2020-01-01,0.2588
2020-02-01,0.2588
2020-03-01,0.2446
2020-04-01,0.2162
2020-05-01,0.2162
2020-06-01,0.1733
2020-07-01,0.1303
2020-08-01,0.1303
2020-09-01,0.1159
2020-10-01,0.1159
2020-11-01,0.1159
2020-12-01,0.1159
2021-01-01,0.1159
2021-02-01,0.1159
2021-03-01,0.1159
2021-04-01,0.159
2021-05-01,0.159
2021-06-01,0.2019
2021-07-01,0.2446
2021-08-01,0.2446
2021-09-01,0.3012
2021-10-01,0.3575
2021-11-01,0.4412
2021-12-01,0.4902
2022-01-01,0.5608
2022-02-01,0.5
2022-03-01,0.5976
2022-04-01,0.5558
2022-05-01,0.6671
2022-06-01,0.6491
2022-07-01,0.6639
2022-08-01,0.7421
2022-09-01,0.6814
2022-10-01,0.6501
2022-11-01,0.6515
2022-12-01,0.7082
2023-01-01,0.7091
2023-02-01,0.5834
2023-03-01,0.7404
2023-04-01,0.5825
2023-05-01,0.7158
2023-06-01,0.6808
2023-07-01,0.6589
2023-08-01,0.7171
2023-09-01,0.6136
2023-10-01,0.6061
2023-11-01,0.5779
2023-12-01,0.5693
2024-01-01,0.5879
2024-02-01,0.5079
2024-03-01,0.5333
2024-04-01,0.6028
2024-05-01,0.5874
2024-06-01,0.5367
2024-07-01,0.5743
2024-08-01,0.5711
2024-09-01,0.5678
2024-10-01,0.5982
2024-11-01,0.5652
2024-12-01,0.5826
